date,rate
9/6/12,42.53
9/7/12,37.44
9/8/12,36.72
9/9/12,22.66
9/10/12,24.07
9/11/12,21.19
9/12/12,36.45
9/13/12,29.11
9/14/12,30.35
9/15/12,28.58
9/16/12,27.05
9/17/12,39.19
9/18/12,33.84
9/19/12,28.75
9/20/12,29.72
9/21/12,28.40
9/22/12,31.16
9/23/12,24.44
9/24/12,26.62
9/25/12,30.24
9/26/12,33.09
9/27/12,46.32
9/28/12,36.89
9/29/12,25.82
9/30/12,22.74
10/1/12,31.67
10/2/12,37.23
10/3/12,38.34
10/4/12,36.94
10/5/12,35.87
10/6/12,29.09
10/7/12,29.61
10/8/12,44.24
10/9/12,30.25
10/10/12,33.50
10/11/12,30.96
10/12/12,31.07
10/13/12,32.11
10/14/12,27.28
10/15/12,33.38
10/16/12,37.86
10/17/12,36.16
10/18/12,31.56
10/19/12,47.99
10/20/12,30.67
10/21/12,26.58
10/22/12,36.22
10/23/12,34.67
10/24/12,37.38
10/25/12,38.33
10/26/12,34.60
10/27/12,31.10
10/28/12,32.10
10/29/12,38.61
10/30/12,58.62
10/31/12,46.90
11/1/12,36.62
11/2/12,36.35
11/3/12,41.16
11/4/12,35.79
11/5/12,50.04
11/6/12,50.16
11/7/12,65.89
11/8/12,41.04
11/9/12,48.94
11/10/12,39.60
11/11/12,30.32
11/12/12,37.81
11/13/12,42.98
11/14/12,50.60
11/15/12,46.43
11/16/12,41.38
11/17/12,33.69
11/18/12,32.06
11/19/12,34.71
11/20/12,36.97
11/21/12,34.27
11/22/12,24.99
11/23/12,27.71
11/24/12,30.42
11/25/12,34.13
11/26/12,31.89
11/27/12,47.42
11/28/12,37.84
11/29/12,46.93
11/30/12,42.91
12/1/12,32.22
12/2/12,29.98
12/3/12,27.52
12/4/12,28.78
12/5/12,30.63
12/6/12,32.05
12/7/12,33.52
12/8/12,29.03
12/9/12,26.17
12/10/12,30.30
12/11/12,32.37
12/12/12,30.77
12/13/12,31.01
12/14/12,30.28
12/15/12,28.12
12/16/12,27.04
12/17/12,29.36
12/18/12,27.87
12/19/12,28.83
12/20/12,30.32
12/21/12,35.13
12/22/12,31.98
12/23/12,28.23
12/24/12,27.17
12/25/12,21.86
12/26/12,37.04
12/27/12,34.24
12/28/12,29.82
12/29/12,31.05
12/30/12,29.83
12/31/12,28.26
1/1/13,25.77
1/2/13,31.85
1/3/13,30.28
1/4/13,30.89
1/5/13,31.46
1/6/13,26.68
1/7/13,34.18
1/8/13,36.24
1/9/13,26.91
1/10/13,28.49
1/11/13,28.33
1/12/13,26.28
1/13/13,25.89
1/14/13,30.67
1/15/13,31.43
1/16/13,29.41
1/17/13,28.79
1/18/13,31.10
1/19/13,28.06
1/20/13,23.13
1/21/13,36.87
1/22/13,67.49
1/23/13,69.06
1/24/13,56.11
1/25/13,104.01
1/26/13,34.42
1/27/13,30.91
1/28/13,30.10
1/29/13,25.28
1/30/13,25.49
1/31/13,31.29
2/1/13,49.58
2/2/13,35.54
2/3/13,32.86
2/4/13,38.55
2/5/13,35.86
2/6/13,33.59
2/7/13,32.71
2/8/13,33.33
2/9/13,32.18
2/10/13,31.11
2/11/13,30.25
2/12/13,28.96
2/13/13,32.33
2/14/13,31.68
2/15/13,31.88
2/16/13,31.03
2/17/13,37.03
2/18/13,36.45
2/19/13,35.05
2/20/13,45.00
2/21/13,39.85
2/22/13,32.84
2/23/13,30.80
2/24/13,30.13
2/25/13,34.91
2/26/13,38.55
2/27/13,32.76
2/28/13,32.14
3/1/13,32.91
3/2/13,40.22
3/3/13,38.87
3/4/13,36.04
3/5/13,41.34
3/6/13,51.63
3/7/13,34.94
3/8/13,38.42
3/9/13,30.56
3/10/13,26.95
3/11/13,33.04
3/12/13,33.68
3/13/13,35.96
3/14/13,43.14
3/15/13,32.26
3/16/13,37.85
3/17/13,37.34
3/18/13,61.44
3/19/13,49.78
3/20/13,49.16
3/21/13,53.70
3/22/13,53.74
3/23/13,32.74
3/24/13,34.19
3/25/13,44.09
3/26/13,40.27
3/27/13,36.50
3/28/13,34.10
3/29/13,28.47
3/30/13,32.20
3/31/13,26.34
4/1/13,29.53
4/2/13,36.80
4/3/13,38.33
4/4/13,42.70
4/5/13,33.27
4/6/13,33.60
4/7/13,29.09
4/8/13,37.66
4/9/13,36.02
4/10/13,50.25
4/11/13,39.97
4/12/13,39.13
4/13/13,37.24
4/14/13,31.61
4/15/13,36.08
4/16/13,44.36
4/17/13,46.25
4/18/13,39.75
4/19/13,36.79
4/20/13,38.28
4/21/13,34.04
4/22/13,41.14
4/23/13,41.93
4/24/13,40.57
4/25/13,34.10
4/26/13,37.77
4/27/13,36.75
4/28/13,33.78
4/29/13,39.62
4/30/13,33.28
5/1/13,40.54
5/2/13,31.76
5/3/13,32.86
5/4/13,31.79
5/5/13,26.94
5/6/13,35.11
5/7/13,38.08
5/8/13,39.12
5/9/13,36.56
5/10/13,36.25
5/11/13,34.40
5/12/13,27.23
5/13/13,32.65
5/14/13,31.97
5/15/13,46.70
5/16/13,35.71
5/17/13,45.50
5/18/13,31.26
5/19/13,31.08
5/20/13,57.04
5/21/13,49.11
5/22/13,53.65
5/23/13,38.14
5/24/13,28.47
5/25/13,25.67
5/26/13,23.56
5/27/13,23.82
5/28/13,44.57
5/29/13,42.29
5/30/13,47.04
5/31/13,50.22
6/1/13,44.60
6/2/13,38.92
6/3/13,36.90
6/4/13,33.32
6/5/13,36.47
6/6/13,33.73
6/7/13,29.43
6/8/13,29.51
6/9/13,26.80
6/10/13,30.76
6/11/13,35.95
6/12/13,52.47
6/13/13,32.11
6/14/13,29.44
6/15/13,30.89
6/16/13,31.46
6/17/13,48.06
6/18/13,30.64
6/19/13,30.25
6/20/13,34.50
6/21/13,31.38
6/22/13,28.22
6/23/13,34.31
6/24/13,48.60
6/25/13,43.23
6/26/13,35.98
6/27/13,38.32
6/28/13,39.20
6/29/13,37.80
6/30/13,32.32
7/1/13,29.08
7/2/13,34.12
7/3/13,40.92
7/4/13,34.92
7/5/13,37.71
7/6/13,52.04
7/7/13,34.44
7/8/13,42.56
7/9/13,42.84
7/10/13,44.41
7/11/13,39.29
7/12/13,32.80
7/13/13,36.20
7/14/13,57.65
7/15/13,99.80
7/16/13,72.79
7/17/13,76.36
7/18/13,119.89
7/19/13,82.38
7/20/13,43.43
7/21/13,50.34
7/22/13,40.88
7/23/13,45.35
7/24/13,31.94
7/25/13,27.22
7/26/13,31.35
7/27/13,30.58
7/28/13,30.74
7/29/13,31.41
7/30/13,28.10
7/31/13,29.50
8/1/13,28.77
8/2/13,33.26
8/3/13,27.08
8/4/13,22.01
8/5/13,29.35
8/6/13,29.84
8/7/13,31.56
8/8/13,43.73
8/9/13,45.36
8/10/13,33.91
8/11/13,31.08
8/12/13,41.68
8/13/13,38.63
8/14/13,27.11
8/15/13,24.75
8/16/13,28.99
8/17/13,28.22
8/18/13,24.90
8/19/13,34.92
8/20/13,35.69
8/21/13,41.39
8/22/13,33.26
8/23/13,29.44
8/24/13,29.32
8/25/13,25.51
8/26/13,31.66
8/27/13,40.35
8/28/13,35.90
8/29/13,38.01
8/30/13,40.24
8/31/13,41.67
9/1/13,37.49
9/2/13,32.88
9/3/13,38.24
9/4/13,35.59
9/5/13,31.69
9/6/13,34.38
9/7/13,30.78
9/8/13,51.36
9/9/13,41.23
9/10/13,95.89
9/11/13,116.38
9/12/13,38.89
9/13/13,29.69
9/14/13,25.64
9/15/13,20.80
9/16/13,27.77
9/17/13,30.12
9/18/13,30.86
9/19/13,30.66
9/20/13,36.07
9/21/13,27.98
9/22/13,24.76
9/23/13,26.03
9/24/13,29.78
9/25/13,30.10
9/26/13,32.18
9/27/13,31.04
9/28/13,27.78
9/29/13,24.11
9/30/13,35.86
10/1/13,32.34
10/2/13,32.38
10/3/13,37.15
10/4/13,43.01
10/5/13,38.24
10/6/13,32.67
10/7/13,33.72
10/8/13,29.02
10/9/13,28.10
10/10/13,32.39
10/11/13,30.82
10/12/13,29.03
10/13/13,26.21
10/14/13,31.90
10/15/13,36.86
